index,file_index,file_entry_index,run,subrun,event,is_primary,pid,start_point_x,start_point_y,start_point_z,momentum_x,momentum_y,momentum_z,start_dir_x,start_dir_y,start_dir_z,ke
8280,572,11,0,0,581000012,True,1,-153.29360961914062,62.398712158203125,522.4179077148438,694.4752197265625,-480.6731567382813,19460.26171875,0.0356532745063304,-0.0246770102530717,0.9990594387054444,19478.580078125
8281,572,12,0,0,581000013,True,1,-162.09007263183594,-37.29730224609375,626.5098876953125,-223.413330078125,-579.1832885742188,623.6066284179688,-0.2539030611515045,-0.6582257151603699,0.7087116241455078,879.3665632372351
8282,573,0,0,0,582000000,True,1,-9223372013568.0,-9223372013568.0,-9223372013568.0,-174.05303955078125,-1286.6578369140625,8915.48828125,-0.0193187613040208,-0.1428107023239135,0.9895614981651306,9009.5341796875
8283,573,1,0,0,582000001,True,1,-237.1436309814453,44.17071533203125,579.3339233398438,25.183591842651367,430.1247253417969,1405.5924072265625,0.017129985615611,0.2925726473331451,0.9560898542404176,1469.6347102234974
8284,573,2,0,0,582000002,True,1,278.0865478515625,1.7627105712890625,881.1939086914062,317.8972473144531,-1338.7459716796875,8640.0986328125,0.0363353602588176,-0.1530174165964126,0.9875552654266356,8748.9765625
8285,573,3,0,0,582000003,True,1,-292.48651123046875,7.342697143554687,770.7778930664062,-309.9079284667969,506.7696838378906,1620.931640625,-0.1795164793729782,0.2935501039028168,0.938936710357666,1726.34814453125
8287,573,5,0,0,582000005,True,1,288.239990234375,-9.025299072265623,770.7778930664062,-240.6057586669922,724.9671630859375,2296.072509765625,-0.0994322150945663,0.29959836602211,0.9488699436187744,2419.796875
8288,573,6,0,0,582000006,True,1,-268.4120178222656,-135.87728881835938,748.0858764648438,596.3328857421875,-2093.8017578125,14109.2265625,0.0417711213231086,-0.1466637998819351,0.988304078578949,14274.19603946448
8289,573,7,0,0,582000007,True,1,-221.72190856933597,-30.601303100585938,707.23388671875,-876.8053588867188,-842.3995971679688,4290.123046875,-0.1966327875852584,-0.1889169365167617,0.9621050357818604,4459.1005859375
8291,573,9,0,0,582000009,True,1,126.3197021484375,81.74270629882812,506.8619079589844,380.5776672363281,-477.1382141113281,134.34375,0.6089839339256287,-0.763495922088623,0.214971050620079,624.4041740524574
8292,573,10,0,0,582000010,True,1,26.70281982421875,44.91470336914063,558.5018920898438,590.6508178710938,-237.7203369140625,1561.390625,0.3502821028232574,-0.1409786939620971,0.9259737730026244,1685.9187329873737
8295,573,13,0,0,582000013,True,1,-53.437286376953125,-209.5332946777344,847.3419189453125,-427.1954040527344,119.8857421875,8.019725799560547,-0.9626480340957642,0.2701521813869476,0.018071761354804,443.2579322777812
8296,573,14,0,0,582000014,True,1,25.39373779296875,-191.67730712890625,718.325927734375,140.59555053710938,-338.2035217285156,864.11328125,0.1498038470745086,-0.3603541254997253,0.9207082986831664,937.9902085925132
8297,573,15,0,0,582000016,True,1,39.8895263671875,-83.79730224609375,794.5858764648438,-319.70965576171875,-103.60491943359376,2772.211181640625,-0.11448834836483,-0.0371010228991508,0.9927315711975098,2792.50830078125
8298,574,0,0,0,583000000,True,1,-317.1720275878906,-113.9292984008789,464.0819091796875,141.84092712402344,-64.60548400878906,73.8182373046875,0.8224653005599976,-0.3746152222156524,0.4280354082584381,171.95210190026089
8299,574,1,0,0,583000001,True,1,244.359619140625,-203.9532928466797,867.4298706054688,-1120.164306640625,-2414.56640625,15135.6064453125,-0.0728900134563446,-0.1571178138256073,0.984886348247528,15367.87109375
8300,574,2,0,0,583000002,True,1,-292.13531494140625,-192.0493011474609,872.6378784179688,-211.7245635986328,-754.216552734375,3475.88330078125,-0.0594220235943794,-0.2116763144731521,0.9755316972732544,3562.5592339062
8301,574,3,0,0,583000003,True,1,33.95074462890625,-179.77330017089844,860.3618774414062,-526.9517211914062,-1431.0657958984375,4793.38720703125,-0.1047591120004654,-0.2844989001750946,0.9529354572296144,5030.1279296875
8302,574,4,0,0,583000004,True,1,111.18527221679688,81.74270629882812,750.6898803710938,472.9450073242188,-773.2099609375,467.20263671875,0.4638033509254455,-0.758264422416687,0.4581719636917114,1019.2479494095352
8304,574,6,0,0,583000007,True,1,165.9375,-100.53729248046876,621.6738891601562,475.2083435058594,-812.6190795898438,5510.3544921875,0.0850076079368591,-0.145365297794342,0.9857193231582642,5588.804855966441
8305,574,7,0,0,583000008,True,1,-38.452728271484375,-183.86529541015625,631.7178955078125,-13.236748695373535,-891.6842651367188,4412.92138671875,-0.0029401096981018,-0.1980584263801574,0.9801858067512512,4502.12744140625
8307,574,9,0,0,583000010,True,1,-265.075439453125,-27.625289916992188,877.1019287109375,50.65070724487305,-1717.524169921875,5566.35791015625,0.0086946096271276,-0.2948271334171295,0.9555110335350036,5825.529296875
8308,574,10,0,0,583000011,True,1,-0.728546142578125,-73.7532958984375,676.35791015625,763.8806762695312,-388.2057189941406,3401.948974609375,0.2177414298057556,-0.1106566339731216,0.9697132706642152,3508.200927734375
8310,574,12,0,0,583000013,True,1,267.40625,-155.96530151367188,744.3659057617188,-415.82916259765625,-62.10774230957031,1235.83984375,-0.3185451924800873,-0.0475775226950645,0.9467129111289978,1305.118656990063
8311,574,13,0,0,583000014,True,1,344.6629638671875,-42.50529479980469,640.6458740234375,-463.8382263183594,-804.2463989257812,9929.232421875,-0.0465115308761596,-0.0806460678577423,0.9956570267677308,9972.54296875
8312,574,14,0,0,583000015,True,1,341.4541015625,-214.36929321289065,480.0779113769531,1398.1744384765625,-377.60638427734375,3339.308349609375,0.3841304183006286,-0.1037424951791763,0.9174319505691528,3638.8584371715287
8313,574,15,0,0,583000016,True,1,-71.73263549804688,79.8826904296875,573.3818969726562,31.340805053710938,-1026.2060546875,2010.0804443359373,0.0138854254037141,-0.454656720161438,0.8905585408210754,2256.2297307530625
8314,574,16,0,0,583000017,True,1,-12.494415283203123,-140.7133026123047,885.285888671875,-871.9274291992188,-1769.462646484375,9455.533203125,-0.0902699679136276,-0.1831910908222198,0.978924036026001,9659.107421875
8315,574,17,0,0,583000018,True,1,-173.02577209472656,-69.66130065917969,437.6698913574219,207.9997100830078,-1067.92041015625,2827.97607421875,0.0686457753181457,-0.3524438738822937,0.9333118796348572,3028.7062661947625
